node,vip,rf_imp,logp,lasso
ARL2,0.151528234,2.07E-17,0.003836091,0
ARL4A,0.293876957,0.000268085,0.263515577,0
ARL4D,0.482056518,0.001159756,0.689270975,0
ARL6IP1,0.519709855,0.001831111,0.338651372,0
ARL6IP4,0.205381197,0.001788719,0.075130183,0
ARL8A,0.515667081,0.000566706,0.311230525,0
ARL8B,0.478181839,0.001156152,0.306039152,0
ARMC12,0.284522554,3.60E-19,0.292845338,0
ARMC5,0.403169505,0.002175976,0.407984647,0
ARMC7,0.135427233,3.83E-18,0.016600445,0
ARMC8,0.314205406,0.001180732,0.237853417,0
ARMC9,0.309868978,0.003770819,0.090562206,0
ARMCX1,0.716967664,0.004001455,0.663812709,0
ARNT2,0.185995798,0.001686626,0.01782392,0
ARNTL,0.383269349,0.001336883,0.194889312,0
ARPC3,0.423373012,0.000785769,0.356089025,0
ARR3,0.162866998,0.000520444,0.336406345,0
ARRB1,0.230498687,0.000385514,0.105783596,0
ARRDC1,0.378738503,0.000267493,0.300875099,0
ARRDC3,0.335667921,0.000264811,0.159820485,0
ARSA,0.365465148,0.000236128,0.208279674,0
ASAP2,0.317507287,0.001484091,0.126683591,0
ASAP3,0.098364669,0.002424636,0.000289763,0
ASB10,0.04042626,0.000514617,0.017694361,0
ASB12,0.473526497,0.000266528,0.577487944,0
ASB13,0.355169222,0.005281269,0.227482125,0
ASB15,0.045493833,3.60E-19,0.007898905,0
ASB3,0.073492362,0.002033856,0.418845662,0
ASB6,0.328630094,0.00748007,0.125761002,0
ASGR2,0.140359256,0.002833727,0.013756765,0
ASH1L,0.180414876,7.79E-18,0.077556844,0
ASH2L,0.24731372,0,0.20543641,0
ASL,0.386487646,0.000231309,0.270293526,0
ASMT,0.227350041,0.00433648,0.073889041,0
ASPG,0.153726986,0.000977804,0.145644624,0
ASPH,0.656637648,0.009580284,0.674768178,0
ASPSCR1,0.398223216,0.007461399,0.489850206,0
ATF2,0.284662907,0.000508879,0.110898249,0
ATF4,0.285781776,6.83E-18,0.152500352,0
ATF5,0.361149515,0.001589055,0.451662525,0
ATF6B,0.27401962,9.23E-18,0.094602967,0
ATF7IP,0.100485491,9.59E-19,0.143085926,0
ATF7IP2,0.067599214,5.75E-18,0.079021575,0
ATG10,0.099031521,0.000385514,0.013677555,0
ATG14,0.341843997,0.002050237,0.119633712,0
ATG4A,0.209186425,0.000974495,0.102368572,0
ATG5,0.508321233,0.006759369,0.250444255,0
ATG9A,0.229037454,0.001586684,0.092460906,0
ATN1,0.216158428,0.001490784,0.096516783,0
ATOX1,0.207848568,1.20E-19,0.113248325,0
ATP13A1,0.54834853,0.000419782,0.567782307,0
ATP1A4,0.648306649,0.003039353,0.373767904,0.11736998
ATP1B4,0.055907034,0.005701,0.007909209,0
ATP23,0.255618578,0.002294116,0.062512416,0
ATP5F1B,0.314537761,0,0.205579166,0
ATP5IF1,0.424321037,7.67E-18,0.340624317,0
ATP5PF,0.138078635,0.000245327,0.04566401,0
ATP5PO,0.074740324,1.80E-19,0.012799218,0
ATP6AP2,0.386699074,0.000490655,0.227177314,0
ATP6V0B,0.359628987,7.01E-18,0.26451161,0
ATP6V0D1,0.225252921,0.001820188,0.050931278,0
ATP6V0D2,0.556223968,0.000339055,0.387465853,0
ATP6V0E1,0.180893458,0.002312079,0.046632262,0
ATP6V1C2,0.279776068,3.83E-18,0.08960455,0
ATP6V1D,0.118110731,0.000231309,0.040389318,0
ATP6V1E2,0.212622994,4.37E-18,0.094642708,0
ATP6V1G1,0.522543648,0.000769338,0.478451767,0
ATPAF2,0.392959854,0.00182383,0.285974643,0
ATRIP,0.1381629,0.002988561,0.075226596,0
ATXN1,0.224025728,0.002057121,0.13515134,0
ATXN1L,0.292785953,0.006134895,0.147261091,0
ATXN2L,0.625867309,0.015329513,0.451883859,0.016535561
ATXN7L1,0.128065063,0,0.074895775,0
ATXN7L2,0.301688538,0.004243807,0.167355071,0
AUNIP,0.385378429,0.000687598,0.168371115,0
AUP1,0.359744249,1.20E-19,0.198219714,0
AVPI1,0.623881807,0.000265949,0.506891917,0.04659868
AVPR2,0.087097889,6.23E-18,0.026528394,0
AWAT2,0.042344367,9.59E-19,0.002361526,0
AXIN1,0.605956778,3.83E-18,0.630938489,0
AXIN2,0.174227638,0.000250584,0.077069413,0
B9D2,0.361014707,1.44E-18,0.068663655,0
BAAT,0.11615273,0.001596162,0.106365095,0
BACH2,0.243069749,0.000255657,0.252570041,0
BAD,0.215087869,0.001974947,0.098573026,0
BAG3,0.365461541,0.002565649,0.074663766,0
